id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
77405129,resume-for-web-developer,dhparkhub,resume-for-web-developer,dhparkhub/resume-for-web-developer,2016-12-26T20:20:50Z,2017-08-04T06:27:58Z,2017-08-17T18:31:40Z,193,TRUE,TRUE,TRUE,TRUE,FALSE,25,,1,18,1,3,3,BSD-2-Clause,,,Korea
22804608,hashring,serialx,hashring,serialx/hashring,2014-08-10T08:07:38Z,2017-09-01T19:54:01Z,2017-08-11T02:24:05Z,190,TRUE,TRUE,TRUE,TRUE,FALSE,38,,0,29,1,0,86,MIT,,,Korea
63392484,ax-boot-framework,axboot,ax-boot-framework,axboot/ax-boot-framework,2016-07-15T04:47:52Z,2017-09-05T00:13:21Z,2017-09-06T07:50:59Z,187,TRUE,TRUE,TRUE,TRUE,FALSE,38,,18,722,1,4,25,MIT,,,Korea
68453688,ebgan,buriburisuri,ebgan,buriburisuri/ebgan,2016-09-17T13:27:23Z,2017-09-08T20:30:51Z,2017-04-04T05:38:04Z,185,TRUE,TRUE,TRUE,TRUE,FALSE,38,,2,11,1,0,15,MIT,,,Korea
5937690,Textcube,Needlworks,Textcube,Needlworks/Textcube,2012-09-24T16:56:37Z,2017-07-21T09:49:47Z,2017-06-03T13:33:50Z,184,TRUE,TRUE,TRUE,TRUE,FALSE,45,,216,6680,21,85,15,MIT,,,Korea
72720513,SRGAN,buriburisuri,SRGAN,buriburisuri/SRGAN,2016-11-03T07:41:01Z,2017-09-09T02:26:35Z,2017-03-23T23:54:22Z,184,TRUE,TRUE,TRUE,TRUE,FALSE,67,,13,3,1,0,1,MIT,,,Korea
23260250,BKMoneyKit,bkook,BKMoneyKit,bkook/BKMoneyKit,2014-08-23T16:15:51Z,2017-06-30T09:57:57Z,2017-04-14T14:15:33Z,177,TRUE,TRUE,TRUE,TRUE,FALSE,59,,12,63,2,12,11,MIT,,,Korea
91896663,Passcode,cruisediary,Passcode,cruisediary/Passcode,2017-05-20T15:04:33Z,2017-09-01T15:41:42Z,2017-06-23T05:50:52Z,170,TRUE,TRUE,TRUE,TRUE,TRUE,13,,0,15,1,0,7,BSD-3-Clause,,,Korea
54688669,git-training,Taeung,git-training,Taeung/git-training,2016-03-25T02:30:31Z,2017-09-02T06:01:58Z,2017-09-10T14:25:56Z,166,TRUE,TRUE,TRUE,TRUE,FALSE,678,,528,12,2,0,1,Apache-2.0,,,Korea
47495285,video_to_sequence,jazzsaxmafia,video_to_sequence,jazzsaxmafia/video_to_sequence,2015-12-06T12:11:15Z,2017-09-10T23:42:08Z,2017-04-08T09:02:44Z,166,TRUE,TRUE,TRUE,TRUE,FALSE,54,,10,14,1,0,1,BSD-2-Clause,,,Korea
